#,Created At,Updated At,conversationId,transcript,summary,sentiment,topics,escalations,resolved
1,2026-03-15T15:51:31.287Z,2026-03-15T15:51:37.182Z,convo-4,"[{""sender"":""user"",""preview"":""Hi!""},{""sender"":""bot"",""preview"":""Hello, I’m Aria, your airline support assistant.\n\nBefore we begin, I need to collect a few details so I can assist you better.""},{""sender"":""bot"",""preview"":""Please enter your full name.""},{""sender"":""user"",""preview"":""aziz""},{""sender"":""bot"",""preview"":""Please enter your email address.""},{""sender"":""user"",""preview"":""[redacted-email]""}]","The user initiated a conversation with Aria, an airline support assistant, who collected the user's full name and email address to assist them better.",neutral,null,null,false
2,2026-04-12T16:31:35.838Z,2026-04-12T16:31:42.918Z,convo-5,"[{""sender"":""user"",""preview"":""Hi!""},{""sender"":""bot"",""preview"":""Hi! {}  I’m really happy you showed up 😊\n\nHow can I help today?\n\nI can assist with:\n✈️ Flight status\n🛫 Airport info\n🧾 Booking support\n🧳 Baggage services\n…and more.\n\nLet me know what you need. ""},{""sender"":""user"",""preview"":""i wanna know my flight status""},{""sender"":""bot"",""preview"":""I can help you check your flight status.\n\nPlease enter your flight number or ticket number.""},{""sender"":""user"",""preview"":""AK419""},{""sender"":""bot"",""preview"":""Sorry, an error occurred. Please try again later""}]","The user greeted the bot and asked to check their flight status. The bot requested the flight number, which the user provided as 'AK419'. However, the bot encountered an error and asked the user to try again later.",negative,"[""flight status""]",null,false
3,2026-04-12T16:33:20.556Z,2026-04-12T16:33:24.592Z,convo-6,"[{""sender"":""user"",""preview"":""Hi!""},{""sender"":""bot"",""preview"":""Hi! {}  I’m really happy you showed up 😊\n\nHow can I help today?\n\nI can assist with:\n✈️ Flight status\n🛫 Airport info\n🧾 Booking support\n🧳 Baggage services\n…and more.\n\nLet me know what you need. ""},{""sender"":""user"",""preview"":""hi, i wanna know my flight status""},{""sender"":""bot"",""preview"":""I can help you check your flight status.\n\nPlease enter your flight number or ticket number.""},{""sender"":""user"",""preview"":""AK419""},{""sender"":""bot"",""preview"":""Sorry, an error occurred. Please try again later""}]","The user greeted the bot and asked for flight status information. The bot requested the user's flight number, which the user provided as 'AK419'. However, the bot encountered an error and could not retrieve the flight status.",negative,"[""flight status""]",null,false
4,2026-04-12T21:12:37.295Z,2026-04-12T23:56:10.801Z,conv_01KP1PTVY3A3REVP433AX5C3BJ,"[{""sender"":""user"",""preview"":""help ""},{""sender"":""bot"",""preview"":""Hello! I’m here to help you with your airline support needs. Please select the area you need assistance with: \n \n- **Flight Status** \n- **Booking Support** \n- **Ticket Details** \n- **Baggage Support** \n- **Payment and Refund** \n- **Airport and Gate Information** \n- **Travel Documents** \n- **Speak to Human Support** \n \nLet me know which topic you’d like to start with, or briefly describe your issue so I can guide you step by step. I’ll only ask for the information needed for your request and will never guess missing details【0】【2】.""},{""sender"":""user"",""preview"":""Flight Status""},{""sender"":""user"",""preview"":""flight status ""},{""sender"":""bot"",""preview"":""To provide your flight status, could you please share your flight number and the date of travel? This information will help me retrieve the most accurate and up-to-date status for your flight【0】【3】【7】【2】.""},{""sender"":""user"",""preview"":""AK419""},{""sender"":""bot"",""preview"":""To provide the most accurate status for flight AK419, could you please share your date of travel? This will help me retrieve the latest updates for your specific flight【0】【4】【6】.""},{""sender"":""user"",""preview"":""مرحبا ""},{""sender"":""bot"",""preview"":""Hi! {}  I’m really happy you showed up 😊\n\nHow can I help today?\n\nI can assist with:\n✈️ Flight status\n🛫 Airport info\n🧾 Booking support\n🧳 Baggage services\n…and more.\n\nLet me know what you need. ""},{""sender"":""user"",""preview"":""baggage ""},{""sender"":""bot"",""preview"":""I can help with baggage information. What do you need help with: baggage allowance, lost baggage, damaged baggage, or extra baggage?""},{""sender"":""user"",""preview"":""yah my baggage was lost and idk where is it I tried asking everywhere ""},{""sender"":""bot"",""preview"":""Thank you for letting us know about your lost baggage. We have found your flight details and your report has been forwarded to our baggage team for follow-up. \n \nTo help us locate your baggage as quickly as possible, could you please describe it? Please include: \n- The color \n- The size (small/medium/large) \n- Any special features or tags \n \nIf you have a picture of your baggage, sharing it can help speed up the process. \n \nRest assured, we are here to support you and will keep you updated as soon as we have news.""}]","The user initially asked for help with flight status, providing their flight number but not the date of travel. Later, the user switched topics to seek assistance with lost baggage. The bot requested a description of the baggage to assist in locating it and assured the user that their report had been forwarded to the baggage team for follow-up.",neutral,"[""Flight Status"",""Baggage Support""]","[""Thank you for letting us know about your lost baggage. We have found your flight details and your report has been forwarded to our baggage team for follow-up. \n \nTo help us locate your baggage as quickly as possible, could you please describe it? Please include: \n- The color \n- The size (small/medium/large) \n- Any special features or tags \n \nIf you have a picture of your baggage, sharing it can help speed up the process. \n \nRest assured, we are here to support you and will keep you updated as soon as we have news.""]",false
5,2026-04-12T21:13:08.042Z,2026-04-12T21:13:12.626Z,conv_01KP1PRK3FWJYEJ5R56JR2DHQ0,"[{""sender"":""user"",""preview"":""hello""},{""sender"":""bot"",""preview"":""Hello! Welcome to Virtual Airline Support Services. How can I assist you today? \nIf you have questions about your flight, booking, baggage, check-in, or travel guidelines, feel free to ask.""}]","The user greeted the bot, and the bot responded by offering assistance with flight-related inquiries.",neutral,null,null,false
6,2026-04-12T21:14:55.560Z,2026-04-12T21:14:58.919Z,conv_01KP1Q103R38JEWBSW9EMEM4JK,"[{""sender"":""user"",""preview"":""hello ""},{""sender"":""bot"",""preview"":""Hello! Welcome to Virtual Airline Support Services. How can I assist you today? \nIf you have questions about your flight, booking, baggage, check-in, or travel guidelines, feel free to ask.""},{""sender"":""user"",""preview"":""Baggage Inquiry""}]","The user greeted the bot and inquired about baggage, and the bot offered assistance with various airline-related questions.",neutral,"[""Baggage Inquiry""]",null,false
7,2026-04-12T21:21:34.683Z,2026-04-12T21:21:41.844Z,conv_01KP1QDCKHEM43BDZC8YBR9A8D,"[{""sender"":""user"",""preview"":""hi""},{""sender"":""bot"",""preview"":""Hi! {}  I’m really happy you showed up 😊\n\nHow can I help today?\n\nI can assist with:\n✈️ Flight status\n🛫 Airport info\n🧾 Booking support\n🧳 Baggage services\n…and more.\n\nLet me know what you need. ""}]","The user greeted the bot, and the bot responded with a friendly message offering assistance with various travel-related services such as flight status, airport info, booking support, and baggage services.",very positive,null,null,false
8,2026-04-12T21:23:49.977Z,2026-04-12T21:23:53.300Z,conv_01KP1Q07B618J58FG9WC0AJCK7,"[{""sender"":""user"",""preview"":""Hi""},{""sender"":""bot"",""preview"":""Hello! How can I assist you with your travel plans today? I can help with flight status, booking, check-in, baggage, travel guidelines, and more.""},{""sender"":""user"",""preview"":""Idk""},{""sender"":""bot"",""preview"":""No problem! If you're not sure where to start, I can help with things like flight status, booking changes, check-in, baggage inquiries, travel guidelines, or airport information. \n \nIs there anything specific you'd like assistance with today?""},{""sender"":""user"",""preview"":""Booking or check-in""},{""sender"":""bot"",""preview"":""Would you like help with a booking (such as making a reservation, checking your booking status, or payment/refund questions), or with check-in (such as online check-in, airport check-in, or boarding information)? Please let me know which area you'd like to start with, and if you have a booking reference or specific question, feel free to share it so I can assist you step by step.【1】【3】【5】【18】【20】""},{""sender"":""user"",""preview"":""مدري""},{""sender"":""bot"",""preview"":""لا مشكلة! إذا كنت غير متأكد، يمكنني مساعدتك في الحجز أو إجراءات تسجيل الوصول. إليك بعض الخيارات الشائعة: \n\nإذا كان لديك سؤال محدد أو تحتاج إلى مساعدة في موضوع آخر، أخبرني بذلك!""},{""sender"":""user"",""preview"":""ابي احجز ل اندونسيا ""},{""sender"":""bot"",""preview"":""Sorry, an error occurred. Please try again later""}]","The user initiated a conversation with a bot seeking assistance with travel plans, specifically mentioning booking or check-in. The bot offered help with various travel-related inquiries. The user expressed uncertainty and communicated in both English and Arabic, eventually stating a desire to book a trip to Indonesia. The conversation ended with an error message from the bot.",neutral,"[""Booking""]",null,false
9,2026-04-13T00:02:48.557Z,2026-04-13T00:02:53.789Z,conv_01KP20KVKM5GN75MWMVGAAXDSV,"[{""sender"":""user"",""preview"":""hi""},{""sender"":""bot"",""preview"":""Hi! {}  I’m really happy you showed up 😊\n\nHow can I help today?\n\nI can assist with:\n✈️ Flight status\n🛫 Airport info\n🧾 Booking support\n🧳 Baggage services\n…and more.\n\nLet me know what you need. ""},{""sender"":""user"",""preview"":""flight status""},{""sender"":""bot"",""preview"":""I can help you check your flight status.\n\nPlease enter your flight number or ticket number.""}]",The user greeted the bot and inquired about flight status. The bot responded by offering assistance with checking the flight status and requested the flight or ticket number.,positive,"[""flight status""]",null,false
10,2026-04-13T04:51:07.057Z,2026-04-13T04:51:10.218Z,conv_01KP2H4BVQPGPW798A8JYEJS8A,"[{""sender"":""user"",""preview"":""halo""},{""sender"":""bot"",""preview"":""Hi! {}  I’m really happy you showed up 😊\n\nHow can I help today?\n\nI can assist with:\n✈️ Flight status\n🛫 Airport info\n🧾 Booking support\n🧳 Baggage services\n…and more.\n\nLet me know what you need. ""}]","The user greeted the bot, and the bot responded by offering assistance with flight status, airport info, booking support, baggage services, and more.",positive,null,null,false
11,2026-04-13T07:52:00.979Z,2026-04-13T07:52:04.140Z,conv_01KP2VFDWX51VCCM01N1BR7B92,"[{""sender"":""user"",""preview"":""👋 ""},{""sender"":""bot"",""preview"":""Hi! {}  I’m really happy you showed up 😊\n\nHow can I help today?\n\nI can assist with:\n✈️ Flight status\n🛫 Airport info\n🧾 Booking support\n🧳 Baggage services\n…and more.\n\nLet me know what you need. ""}]","The user greeted the bot, and the bot responded with a friendly message offering assistance with flight status, airport info, booking support, baggage services, and more.",very positive,null,null,false
12,2026-04-13T12:54:28.360Z,2026-04-13T12:54:29.105Z,conv_01KP3CSEGJGS3D715YS5D6A9R9,"[{""sender"":""user"",""preview"":""hi""},{""sender"":""bot"",""preview"":""Hi! {}  I’m really happy you showed up 😊\n\nHow can I help today?\n\nI can assist with:\n✈️ Flight status\n🛫 Airport info\n🧾 Booking support\n🧳 Baggage services\n…and more.\n\nLet me know what you need. ""}]","The user greeted the bot, and the bot responded with a friendly message offering assistance with various travel-related services such as flight status, airport info, booking support, and baggage services.",very positive,null,null,false
